sep=;
Series;Time;Value
xelab.mode;2018-07-15T16:00:00+03:00;11.266
xelab.mode;2018-07-15T16:00:10+03:00;11.6318
xelab.mode;2018-07-15T16:00:20+03:00;13.0422
xelab.mode;2018-07-15T16:00:30+03:00;13.321
xelab.mode;2018-07-15T16:00:40+03:00;13.4206
xelab.mode;2018-07-15T16:00:50+03:00;11.4415
xelab.mode;2018-07-15T16:01:00+03:00;11.0405
xelab.mode;2018-07-15T16:01:10+03:00;12.8689
xelab.mode;2018-07-15T16:01:20+03:00;10.3423
xelab.mode;2018-07-15T16:01:30+03:00;12.0465
xelab.mode;2018-07-15T16:01:40+03:00;10.7961
xelab.mode;2018-07-15T16:01:50+03:00;11.3395
xelab.mode;2018-07-15T16:02:00+03:00;12.0947
xelab.mode;2018-07-15T16:02:10+03:00;11.7019
xelab.mode;2018-07-15T16:02:20+03:00;10.9094
xelab.mode;2018-07-15T16:02:30+03:00;11.0361
xelab.mode;2018-07-15T16:02:40+03:00;11.2379
xelab.mode;2018-07-15T16:02:50+03:00;11.8741
xelab.mode;2018-07-15T16:03:00+03:00;12.7052
xelab.mode;2018-07-15T16:03:10+03:00;9.8572
xelab.mode;2018-07-15T16:03:20+03:00;11.2904
xelab.mode;2018-07-15T16:03:30+03:00;10.0017
xelab.mode;2018-07-15T16:03:40+03:00;11.4564
xelab.mode;2018-07-15T16:03:50+03:00;13.1297
xelab.mode;2018-07-15T16:04:00+03:00;11.6863
xelab.mode;2018-07-15T16:04:10+03:00;10.8689
xelab.mode;2018-07-15T16:04:20+03:00;12.8772
xelab.mode;2018-07-15T16:04:30+03:00;11.3386
xelab.mode;2018-07-15T16:04:40+03:00;10.2101
xelab.mode;2018-07-15T16:04:50+03:00;10.6786
xelab.mode;2018-07-15T16:05:00+03:00;9.698
xelab.mode;2018-07-15T16:05:10+03:00;12.6303
xelab.mode;2018-07-15T16:05:20+03:00;10.7123
xelab.mode;2018-07-15T16:05:30+03:00;12.9852
xelab.mode;2018-07-15T16:05:40+03:00;11.5715
xelab.mode;2018-07-15T16:05:50+03:00;10.3489
xelab.mode;2018-07-15T16:06:00+03:00;11.172
xelab.mode;2018-07-15T16:06:10+03:00;12.1261
xelab.mode;2018-07-15T16:06:20+03:00;11.6336
xelab.mode;2018-07-15T16:06:30+03:00;11.2025
xelab.mode;2018-07-15T16:06:40+03:00;11.9367
xelab.mode;2018-07-15T16:06:50+03:00;11.0399
xelab.mode;2018-07-15T16:07:00+03:00;11.1199
xelab.mode;2018-07-15T16:07:10+03:00;10.3423
xelab.mode;2018-07-15T16:07:20+03:00;4.9247
xelab.mode;2018-07-15T16:07:30+03:00;5.1182
xelab.mode;2018-07-15T16:07:40+03:00;4.7036
xelab.mode;2018-07-15T16:07:50+03:00;5.1976
xelab.mode;2018-07-15T16:08:00+03:00;4.666
xelab.mode;2018-07-15T16:08:10+03:00;4.6153
xelab.mode;2018-07-15T16:08:20+03:00;4.9682
xelab.mode;2018-07-15T16:08:30+03:00;4.2971
xelab.mode;2018-07-15T16:08:40+03:00;4.5131
xelab.mode;2018-07-15T16:08:50+03:00;5.0505
xelab.mode;2018-07-15T16:09:00+03:00;4.4816
xelab.mode;2018-07-15T16:09:10+03:00;4.5977
xelab.mode;2018-07-15T16:09:20+03:00;4.8512
