sep=;
Series;Time;Value
Ret_Bot;2018-07-15T01:10:00+03:00;-103.80913017751462
Ret_Bot;2018-07-15T01:20:00+03:00;-103.80249312377241
Ret_Bot;2018-07-15T01:30:00+03:00;-103.79765680473379
Ret_Bot;2018-07-15T01:40:00+03:00;-103.8020923379172
Ret_Bot;2018-07-15T01:50:00+03:00;-103.80349704142056
Ret_Bot;2018-07-15T02:00:00+03:00;-103.80398818897626
Ret_Bot;2018-07-15T02:10:00+03:00;-103.8090649606299
Ret_Bot;2018-07-15T02:20:00+03:00;-103.80994477317566
Ret_Bot;2018-07-15T02:30:00+03:00;-103.8194370078738
Ret_Bot;2018-07-15T02:40:00+03:00;-103.83045275590598
Ret_Bot;2018-07-15T02:50:00+03:00;-103.83039566929162
Ret_Bot;2018-07-15T03:00:00+03:00;-103.83613385826794
Ret_Bot;2018-07-15T03:10:00+03:00;-103.83982445759408
Ret_Bot;2018-07-15T03:20:00+03:00;-103.82559251968527
Ret_Bot;2018-07-15T03:30:00+03:00;-103.8178877952755
Ret_Bot;2018-07-15T03:40:00+03:00;-103.8192834645669
Ret_Bot;2018-07-15T03:50:00+03:00;-103.82108661417341
Ret_Bot;2018-07-15T04:00:00+03:00;-103.82314792899447
Ret_Bot;2018-07-15T04:10:00+03:00;-103.8171850393698
Ret_Bot;2018-07-15T04:20:00+03:00;-103.80152848723023
Ret_Bot;2018-07-15T04:30:00+03:00;-103.80669625246566
Ret_Bot;2018-07-15T04:40:00+03:00;-103.79820039292724
Ret_Bot;2018-07-15T04:50:00+03:00;-103.7666712598423
Ret_Bot;2018-07-15T05:00:00+03:00;-103.72943897637795
Ret_Bot;2018-07-15T05:10:00+03:00;-103.69840157480317
Ret_Bot;2018-07-15T05:20:00+03:00;-103.65909842519667
Ret_Bot;2018-07-15T05:30:00+03:00;-103.6183877952758
Ret_Bot;2018-07-15T05:40:00+03:00;-103.65147834645673
Ret_Bot;2018-07-15T05:50:00+03:00;-103.67379330708604
Ret_Bot;2018-07-15T06:00:00+03:00;-103.67278149606273
Ret_Bot;2018-07-15T06:10:00+03:00;-103.68463188976399
Ret_Bot;2018-07-15T06:20:00+03:00;-103.69804921259826
Ret_Bot;2018-07-15T06:30:00+03:00;-103.70679921259858
Ret_Bot;2018-07-15T06:40:00+03:00;-103.71969685039372
Ret_Bot;2018-07-15T06:50:00+03:00;-103.72952071005948
Ret_Bot;2018-07-15T07:00:00+03:00;-103.74784842519662
Ret_Bot;2018-07-15T07:10:00+03:00;-103.76541141732235
Ret_Bot;2018-07-15T07:20:00+03:00;-103.76609645669274
Ret_Bot;2018-07-15T07:30:00+03:00;-103.76989960629902
Ret_Bot;2018-07-15T07:40:00+03:00;-103.76882677165318
Ret_Bot;2018-07-15T07:50:00+03:00;-103.77713976377967
Ret_Bot;2018-07-15T08:00:00+03:00;-103.77590157480338
Ret_Bot;2018-07-15T08:10:00+03:00;-103.77648818897582
Ret_Bot;2018-07-15T08:20:00+03:00;-103.77801968503931
Ret_Bot;2018-07-15T08:30:00+03:00;-103.79154437869819
Ret_Bot;2018-07-15T08:40:00+03:00;-103.78364960629906
Ret_Bot;2018-07-15T08:50:00+03:00;-103.79058464566945
Ret_Bot;2018-07-15T09:00:00+03:00;-103.79374212598418
Ret_Bot;2018-07-15T09:10:00+03:00;-103.8053051181105
Ret_Bot;2018-07-15T09:20:00+03:00;-103.81835039370088
Ret_Bot;2018-07-15T09:30:00+03:00;-103.80356496063014
Ret_Bot;2018-07-15T09:40:00+03:00;-103.79325787401552
Ret_Bot;2018-07-15T09:50:00+03:00;-103.39521456692928
Ret_Bot;2018-07-15T10:00:00+03:00;-102.97275393700804
Ret_Bot;2018-07-15T10:10:00+03:00;-102.93284251968497
Ret_Bot;2018-07-15T10:20:00+03:00;-102.78512007874026
Ret_Bot;2018-07-15T10:30:00+03:00;-102.80960826771648
Ret_Bot;2018-07-15T10:40:00+03:00;-102.68796456692918
Ret_Bot;2018-07-15T10:50:00+03:00;-102.7050748031495
Ret_Bot;2018-07-15T11:00:00+03:00;-102.68979724409456
