sep=;
Series;Time;Value
Tube top;2018-07-15T01:10:00+03:00;-100.98273175542401
Tube top;2018-07-15T01:20:00+03:00;-100.97374066797643
Tube top;2018-07-15T01:30:00+03:00;-100.98036094674558
Tube top;2018-07-15T01:40:00+03:00;-100.98276817288807
Tube top;2018-07-15T01:50:00+03:00;-100.97640433925059
Tube top;2018-07-15T02:00:00+03:00;-100.98121850393723
Tube top;2018-07-15T02:10:00+03:00;-100.98615944881925
Tube top;2018-07-15T02:20:00+03:00;-100.98455818540447
Tube top;2018-07-15T02:30:00+03:00;-100.9867125984251
Tube top;2018-07-15T02:40:00+03:00;-100.99638976377963
Tube top;2018-07-15T02:50:00+03:00;-101.00548818897643
Tube top;2018-07-15T03:00:00+03:00;-101.00769685039332
Tube top;2018-07-15T03:10:00+03:00;-101.00978303747547
Tube top;2018-07-15T03:20:00+03:00;-100.99227165354336
Tube top;2018-07-15T03:30:00+03:00;-100.98740551181098
Tube top;2018-07-15T03:40:00+03:00;-100.98738385826763
Tube top;2018-07-15T03:50:00+03:00;-100.98945078740165
Tube top;2018-07-15T04:00:00+03:00;-100.98726035502978
Tube top;2018-07-15T04:10:00+03:00;-100.96233858267732
Tube top;2018-07-15T04:20:00+03:00;-100.97033791748527
Tube top;2018-07-15T04:30:00+03:00;-100.97743589743581
Tube top;2018-07-15T04:40:00+03:00;-100.96456385068764
Tube top;2018-07-15T04:50:00+03:00;-100.9372283464567
Tube top;2018-07-15T05:00:00+03:00;-100.90625196850402
Tube top;2018-07-15T05:10:00+03:00;-100.88148228346449
Tube top;2018-07-15T05:20:00+03:00;-100.84426968503946
Tube top;2018-07-15T05:30:00+03:00;-100.8089763779529
Tube top;2018-07-15T05:40:00+03:00;-100.85144488188966
Tube top;2018-07-15T05:50:00+03:00;-100.85598622047263
Tube top;2018-07-15T06:00:00+03:00;-100.87484842519676
Tube top;2018-07-15T06:10:00+03:00;-100.88103937007867
Tube top;2018-07-15T06:20:00+03:00;-100.88565157480306
Tube top;2018-07-15T06:30:00+03:00;-100.90407283464575
Tube top;2018-07-15T06:40:00+03:00;-100.91693700787405
Tube top;2018-07-15T06:50:00+03:00;-100.92366666666679
Tube top;2018-07-15T07:00:00+03:00;-100.92772244094502
Tube top;2018-07-15T07:10:00+03:00;-100.95933464566907
Tube top;2018-07-15T07:20:00+03:00;-100.94784055118117
Tube top;2018-07-15T07:30:00+03:00;-100.96179133858277
Tube top;2018-07-15T07:40:00+03:00;-100.95695472440937
Tube top;2018-07-15T07:50:00+03:00;-100.9519311023622
Tube top;2018-07-15T08:00:00+03:00;-100.95814566929131
Tube top;2018-07-15T08:10:00+03:00;-100.96084448818908
Tube top;2018-07-15T08:20:00+03:00;-100.95907874015731
Tube top;2018-07-15T08:30:00+03:00;-100.97383234714002
Tube top;2018-07-15T08:40:00+03:00;-100.96440748031493
Tube top;2018-07-15T08:50:00+03:00;-100.97353740157487
Tube top;2018-07-15T09:00:00+03:00;-100.96907874015757
Tube top;2018-07-15T09:10:00+03:00;-100.98223818897641
Tube top;2018-07-15T09:20:00+03:00;-100.98115944881876
Tube top;2018-07-15T09:30:00+03:00;-100.9895551181103
Tube top;2018-07-15T09:40:00+03:00;-100.97148818897634
Tube top;2018-07-15T09:50:00+03:00;-100.62617125984244
Tube top;2018-07-15T10:00:00+03:00;-100.07333858267701
Tube top;2018-07-15T10:10:00+03:00;-100.03331692913378
Tube top;2018-07-15T10:20:00+03:00;-99.88619094488189
Tube top;2018-07-15T10:30:00+03:00;-99.93835039370086
Tube top;2018-07-15T10:40:00+03:00;-99.85513976377963
Tube top;2018-07-15T10:50:00+03:00;-99.88499606299202
Tube top;2018-07-15T11:00:00+03:00;-99.87049803149617
Tube top;2018-07-15T11:10:00+03:00;-99.81992504930962
Tube top;2018-07-15T11:20:00+03:00;-99.70693909626677
Tube top;2018-07-15T11:30:00+03:00;-99.74300591715973
Tube top;2018-07-15T11:40:00+03:00;-99.74680118110247
Tube top;2018-07-15T11:50:00+03:00;-99.70786417322823
Tube top;2018-07-15T12:00:00+03:00;-99.5889881889764
Tube top;2018-07-15T12:10:00+03:00;-99.66856889763777
Tube top;2018-07-15T12:20:00+03:00;-99.56550098619327
Tube top;2018-07-15T12:30:00+03:00;-99.60868897637779
Tube top;2018-07-15T12:40:00+03:00;-99.68756889763782
Tube top;2018-07-15T12:50:00+03:00;-99.6409999999999
Tube top;2018-07-15T13:00:00+03:00;-99.81003536345769
Tube top;2018-07-15T13:10:00+03:00;-99.79973228346468
Tube top;2018-07-15T13:20:00+03:00;-99.90209055118105
Tube top;2018-07-15T13:30:00+03:00;-99.7747297830374
Tube top;2018-07-15T13:40:00+03:00;-99.81329666011783
Tube top;2018-07-15T13:50:00+03:00;-99.77370078740157
Tube top;2018-07-15T14:00:00+03:00;-99.86912795275565
Tube top;2018-07-15T14:10:00+03:00;-99.61887204724418
Tube top;2018-07-15T14:20:00+03:00;-97.48633267716534
Tube top;2018-07-15T14:30:00+03:00;-97.15168897637807
Tube top;2018-07-15T14:40:00+03:00;-97.4805601577908
Tube top;2018-07-15T14:50:00+03:00;-97.81670275590554
Tube top;2018-07-15T15:00:00+03:00;-98.04688385826758
Tube top;2018-07-15T15:10:00+03:00;-98.21003353057237
Tube top;2018-07-15T15:20:00+03:00;-98.32135433070863
Tube top;2018-07-15T15:30:00+03:00;-98.4500255905513
Tube top;2018-07-15T15:40:00+03:00;-98.58167061143959
Tube top;2018-07-15T15:50:00+03:00;-98.65403155818531
Tube top;2018-07-15T16:00:00+03:00;-98.74008267716523
Tube top;2018-07-15T16:10:00+03:00;-98.74884645669297
Tube top;2018-07-15T16:20:00+03:00;-98.91198818897644
Tube top;2018-07-15T16:30:00+03:00;-98.91529330708651
Tube top;2018-07-15T16:40:00+03:00;-98.87121259842516
Tube top;2018-07-15T16:50:00+03:00;-99.1883169291339
Tube top;2018-07-15T17:00:00+03:00;-99.28707874015754
Tube top;2018-07-15T17:10:00+03:00;-99.35850196850393
Tube top;2018-07-15T17:20:00+03:00;-99.3969566929134
Tube top;2018-07-15T17:30:00+03:00;-99.45506889763766
Tube top;2018-07-15T17:40:00+03:00;-99.4421084812623
Tube top;2018-07-15T17:50:00+03:00;-99.40206299212603
Tube top;2018-07-15T18:00:00+03:00;-99.39134516765293
Tube top;2018-07-15T18:10:00+03:00;-99.38112204724443
Tube top;2018-07-15T18:20:00+03:00;-99.41024606299224
Tube top;2018-07-15T18:30:00+03:00;-99.37052362204724
Tube top;2018-07-15T18:40:00+03:00;-99.39490748031508
Tube top;2018-07-15T18:50:00+03:00;-99.31176574803132
Tube top;2018-07-15T19:00:00+03:00;-99.39728937007867
Tube top;2018-07-15T19:10:00+03:00;-99.3521321499014
Tube top;2018-07-15T19:20:00+03:00;-99.30484842519692
Tube top;2018-07-15T19:30:00+03:00;-99.38434842519654
Tube top;2018-07-15T19:40:00+03:00;-99.28494685039374
Tube top;2018-07-15T19:50:00+03:00;-99.3368284023668
Tube top;2018-07-15T20:00:00+03:00;-99.2783996062992
Tube top;2018-07-15T20:10:00+03:00;-99.27172637795266
Tube top;2018-07-15T20:20:00+03:00;-99.27114960629913
Tube top;2018-07-15T20:30:00+03:00;-99.21313779527567
Tube top;2018-07-15T20:40:00+03:00;-99.37078149606282
Tube top;2018-07-15T20:50:00+03:00;-99.35616568047347
Tube top;2018-07-15T21:00:00+03:00;-99.33144488188978
Tube top;2018-07-15T21:10:00+03:00;-99.36300590551146
Tube top;2018-07-15T21:20:00+03:00;-99.26313779527553
Tube top;2018-07-15T21:30:00+03:00;-99.3308267716536
Tube top;2018-07-15T21:40:00+03:00;-99.35122440944863
Tube top;2018-07-15T21:50:00+03:00;-99.3144940944882
Tube top;2018-07-15T22:00:00+03:00;-99.28082086614148
Tube top;2018-07-15T22:10:00+03:00;-99.27253543307076
Tube top;2018-07-15T22:20:00+03:00;-99.27162401574775
Tube top;2018-07-15T22:30:00+03:00;-99.24980905511798
Tube top;2018-07-15T22:40:00+03:00;-99.20042209072962
Tube top;2018-07-15T22:50:00+03:00;-99.15633988212164
Tube top;2018-07-15T23:00:00+03:00;-99.15773175542392
Tube top;2018-07-15T23:10:00+03:00;-99.1617519685042
Tube top;2018-07-15T23:20:00+03:00;-99.15656889763761
Tube top;2018-07-15T23:30:00+03:00;-99.14667519685024
Tube top;2018-07-15T23:40:00+03:00;-99.14355314960633
Tube top;2018-07-15T23:50:00+03:00;-99.14692141453838
Tube top;2018-07-16T00:00:00+03:00;-99.1539744094489
Tube top;2018-07-16T00:10:00+03:00;-99.09656299212594
Tube top;2018-07-16T00:20:00+03:00;-99.20966469427995
Tube top;2018-07-16T00:30:00+03:00;-99.21192125984263
Tube top;2018-07-16T00:40:00+03:00;-99.2922598425196
Tube top;2018-07-16T00:50:00+03:00;-99.24217322834681
Tube top;2018-07-16T01:00:00+03:00;-99.17964299802755
Tube top;2018-07-16T01:10:00+03:00;-99.25143503937012
Tube top;2018-07-16T01:20:00+03:00;-99.2298996062989
Tube top;2018-07-16T01:30:00+03:00;-99.20981102362204
Tube top;2018-07-16T01:40:00+03:00;-99.20719291338561
Tube top;2018-07-16T01:50:00+03:00;-99.19699606299217
Tube top;2018-07-16T02:00:00+03:00;-99.16060039370042
Tube top;2018-07-16T02:10:00+03:00;-99.14689566929121
Tube top;2018-07-16T02:20:00+03:00;-99.14867652859947
Tube top;2018-07-16T02:30:00+03:00;-99.15444094488181
Tube top;2018-07-16T02:40:00+03:00;-99.15025787401588
Tube top;2018-07-16T02:50:00+03:00;-99.1541555118112
Tube top;2018-07-16T03:00:00+03:00;-99.1612342519685
Tube top;2018-07-16T03:10:00+03:00;-99.0739744094487
Tube top;2018-07-16T03:20:00+03:00;-99.08935826771648
Tube top;2018-07-16T03:30:00+03:00;-99.19594685039371
Tube top;2018-07-16T03:40:00+03:00;-99.18835433070839
Tube top;2018-07-16T03:50:00+03:00;-99.1726390532544
Tube top;2018-07-16T04:00:00+03:00;-99.15920472440966
Tube top;2018-07-16T04:10:00+03:00;-99.15969881889735
Tube top;2018-07-16T04:20:00+03:00;-99.15908661417333
Tube top;2018-07-16T04:30:00+03:00;-99.15631237721026
Tube top;2018-07-16T04:40:00+03:00;-99.1504350393702
Tube top;2018-07-16T04:50:00+03:00;-99.15829783037495
Tube top;2018-07-16T05:00:00+03:00;-99.1789311023623
Tube top;2018-07-16T05:10:00+03:00;-99.1868818897636
Tube top;2018-07-16T05:20:00+03:00;-99.17268110236215
Tube top;2018-07-16T05:30:00+03:00;-99.17688408644405
Tube top;2018-07-16T05:40:00+03:00;-99.1917244094488
Tube top;2018-07-16T05:50:00+03:00;-99.1860433070862
Tube top;2018-07-16T06:00:00+03:00;-99.1722027559056
Tube top;2018-07-16T06:10:00+03:00;-99.15015157480308
Tube top;2018-07-16T06:20:00+03:00;-99.08658267716525
Tube top;2018-07-16T06:30:00+03:00;-99.04843589743591
Tube top;2018-07-16T06:40:00+03:00;-99.05813779527557
Tube top;2018-07-16T06:50:00+03:00;-99.06393897637804
Tube top;2018-07-16T07:00:00+03:00;-99.08350000000004
Tube top;2018-07-16T07:10:00+03:00;-99.08542125984252
Tube top;2018-07-16T07:20:00+03:00;-99.08292716535416
Tube top;2018-07-16T07:30:00+03:00;-99.08331299212588
Tube top;2018-07-16T07:40:00+03:00;-99.09607480314972
Tube top;2018-07-16T07:50:00+03:00;-99.10064566929107
Tube top;2018-07-16T08:00:00+03:00;-99.09610848126238
Tube top;2018-07-16T08:10:00+03:00;-99.09888779527549
Tube top;2018-07-16T08:20:00+03:00;-99.09207480314984
Tube top;2018-07-16T08:30:00+03:00;-99.09875984251961
Tube top;2018-07-16T08:40:00+03:00;-99.09166535433073
Tube top;2018-07-16T08:50:00+03:00;-99.15054330708644
Tube top;2018-07-16T09:00:00+03:00;-99.19880314960632
Tube top;2018-07-16T09:10:00+03:00;-99.19937204724411
Tube top;2018-07-16T09:20:00+03:00;-99.17718700787397
Tube top;2018-07-16T09:30:00+03:00;-99.14052859960535
Tube top;2018-07-16T09:40:00+03:00;-99.10619291338577
Tube top;2018-07-16T09:50:00+03:00;-99.1004133858269
Tube top;2018-07-16T10:00:00+03:00;-99.10768700787443
Tube top;2018-07-16T10:10:00+03:00;-99.11065354330721
Tube top;2018-07-16T10:20:00+03:00;-99.11086193293896
Tube top;2018-07-16T10:30:00+03:00;-99.10799015748007
Tube top;2018-07-16T10:40:00+03:00;-99.11738188976356
Tube top;2018-07-16T10:50:00+03:00;-99.09322287968443
Tube top;2018-07-16T11:00:00+03:00;-99.07559842519683
Tube top;2018-07-16T11:10:00+03:00;-99.0843720472441
Tube top;2018-07-16T11:20:00+03:00;-99.08466666666646
Tube top;2018-07-16T11:30:00+03:00;-99.06787795275571
Tube top;2018-07-16T11:40:00+03:00;-99.05760039370087
Tube top;2018-07-16T11:50:00+03:00;-99.0345413385826
Tube top;2018-07-16T12:00:00+03:00;-99.04813976377932
Tube top;2018-07-16T12:10:00+03:00;-99.06915944881897
Tube top;2018-07-16T12:20:00+03:00;-99.07499606299243
Tube top;2018-07-16T12:30:00+03:00;-99.06305708661392
Tube top;2018-07-16T12:40:00+03:00;-99.06892125984248
Tube top;2018-07-16T12:50:00+03:00;-99.11305708661415
Tube top;2018-07-16T13:00:00+03:00;-99.1118779527563
Tube top;2018-07-16T13:10:00+03:00;-99.07900393700781
Tube top;2018-07-16T13:20:00+03:00;-99.07202366863888
Tube top;2018-07-16T13:30:00+03:00;-99.07940275049117
Tube top;2018-07-16T13:40:00+03:00;-99.07554724409478
Tube top;2018-07-16T13:50:00+03:00;-99.11169881889774
Tube top;2018-07-16T14:00:00+03:00;-99.14783661417329
Tube top;2018-07-16T14:10:00+03:00;-99.13831496063001
Tube top;2018-07-16T14:20:00+03:00;-99.18615354330703
Tube top;2018-07-16T14:30:00+03:00;-99.20388165680477
Tube top;2018-07-16T14:40:00+03:00;-99.16404133858269
Tube top;2018-07-16T14:50:00+03:00;-99.1293425196853
Tube top;2018-07-16T15:00:00+03:00;-99.10373228346457
Tube top;2018-07-16T15:10:00+03:00;-99.09948622047229
Tube top;2018-07-16T15:20:00+03:00;-99.09398622047257
Tube top;2018-07-16T15:30:00+03:00;-99.08378937007856
Tube top;2018-07-16T15:40:00+03:00;-99.0787559055121
Tube top;2018-07-16T15:50:00+03:00;-99.08082480314924
Tube top;2018-07-16T16:00:00+03:00;-99.09178346456699
Tube top;2018-07-16T16:10:00+03:00;-99.10345078740153
Tube top;2018-07-16T16:20:00+03:00;-99.08250590551171
Tube top;2018-07-16T16:30:00+03:00;-99.04428937007901
Tube top;2018-07-16T16:40:00+03:00;-99.0387618110238
Tube top;2018-07-16T16:50:00+03:00;-99.03829191321539
Tube top;2018-07-16T17:00:00+03:00;-99.02301178781912
Tube top;2018-07-16T17:10:00+03:00;-99.0266213017752
Tube top;2018-07-16T17:20:00+03:00;-99.03336220472431
Tube top;2018-07-16T17:30:00+03:00;-99.03318503937017
Tube top;2018-07-16T17:40:00+03:00;-99.04044291338586
Tube top;2018-07-16T17:50:00+03:00;-99.02717554240638
Tube top;2018-07-16T18:00:00+03:00;-99.03774409448836
Tube top;2018-07-16T18:10:00+03:00;-99.03077755905491
Tube top;2018-07-16T18:20:00+03:00;-98.9622539370079
Tube top;2018-07-16T18:30:00+03:00;-99.00765748031496
Tube top;2018-07-16T18:40:00+03:00;-99.00532480314946
Tube top;2018-07-16T18:50:00+03:00;-99.0177874015748
Tube top;2018-07-16T19:00:00+03:00;-99.01656299212571
Tube top;2018-07-16T19:10:00+03:00;-99.02544881889767
Tube top;2018-07-16T19:20:00+03:00;-99.07355818540445
Tube top;2018-07-16T19:30:00+03:00;-99.10071062992138
Tube top;2018-07-16T19:40:00+03:00;-99.10729724409462
Tube top;2018-07-16T19:50:00+03:00;-99.08761417322818
Tube top;2018-07-16T20:00:00+03:00;-99.08454724409435
Tube top;2018-07-16T20:10:00+03:00;-99.08612204724398
Tube top;2018-07-16T20:20:00+03:00;-99.08963976377942
Tube top;2018-07-16T20:30:00+03:00;-99.08996055226815
Tube top;2018-07-16T20:40:00+03:00;-99.09943700787383
Tube top;2018-07-16T20:50:00+03:00;-99.09067716535425
Tube top;2018-07-16T21:00:00+03:00;-99.08637007874032
Tube top;2018-07-16T21:10:00+03:00;-99.06830314960624
Tube top;2018-07-16T21:20:00+03:00;-99.01817716535449
Tube top;2018-07-16T21:30:00+03:00;-98.98015187376745
Tube top;2018-07-16T21:40:00+03:00;-99.00040354330686
Tube top;2018-07-16T21:50:00+03:00;-98.99148228346473
Tube top;2018-07-16T22:00:00+03:00;-98.99613385826758
Tube top;2018-07-16T22:10:00+03:00;-98.99313188976403
Tube top;2018-07-16T22:20:00+03:00;-99.00095078740162
Tube top;2018-07-16T22:30:00+03:00;-99.01564370078741
Tube top;2018-07-16T22:40:00+03:00;-99.0053090551181
Tube top;2018-07-16T22:50:00+03:00;-99.02242322834657
Tube top;2018-07-16T23:00:00+03:00;-99.08623228346482
Tube top;2018-07-16T23:10:00+03:00;-99.1249350393701
Tube top;2018-07-16T23:20:00+03:00;-99.12951181102375
Tube top;2018-07-16T23:30:00+03:00;-99.10877559055129
