sep=;
Series;Time;Value
Ret_Bot;2018-07-19T07:30:00+03:00;-104.1692061068701
Ret_Bot;2018-07-19T07:40:00+03:00;-104.16826129665976
Ret_Bot;2018-07-19T07:50:00+03:00;-104.15962524654853
Ret_Bot;2018-07-19T08:00:00+03:00;-104.1463681102363
Ret_Bot;2018-07-19T08:10:00+03:00;-104.15517913385852
Ret_Bot;2018-07-19T08:20:00+03:00;-104.16384479371291
Ret_Bot;2018-07-19T08:30:00+03:00;-104.16132086614166
Ret_Bot;2018-07-19T08:40:00+03:00;-104.16004724409495
Ret_Bot;2018-07-19T08:50:00+03:00;-104.16004527559012
Ret_Bot;2018-07-19T09:00:00+03:00;-104.15631299212579
Ret_Bot;2018-07-19T09:10:00+03:00;-104.18137672583833
Ret_Bot;2018-07-19T09:20:00+03:00;-104.2074527559056
Ret_Bot;2018-07-19T09:30:00+03:00;-104.20100393700814
Ret_Bot;2018-07-19T09:40:00+03:00;-104.1286954813361
Ret_Bot;2018-07-19T09:50:00+03:00;-104.05511417322847
Ret_Bot;2018-07-19T10:00:00+03:00;-104.11013385826762
Ret_Bot;2018-07-19T10:10:00+03:00;-104.14449309664762
Ret_Bot;2018-07-19T10:20:00+03:00;-104.12774409448807
Ret_Bot;2018-07-19T10:30:00+03:00;-104.13562598425207
Ret_Bot;2018-07-19T10:40:00+03:00;-104.1656535433074
Ret_Bot;2018-07-19T10:50:00+03:00;-104.17470669291329
Ret_Bot;2018-07-19T11:00:00+03:00;-104.16027897838914
Ret_Bot;2018-07-19T11:10:00+03:00;-104.16635236220509
Ret_Bot;2018-07-19T11:20:00+03:00;-104.18532086614147
Ret_Bot;2018-07-19T11:30:00+03:00;-104.18090944881858
Ret_Bot;2018-07-19T11:40:00+03:00;-104.1880078895467
Ret_Bot;2018-07-19T11:50:00+03:00;-104.20336489151933
Ret_Bot;2018-07-19T12:00:00+03:00;-104.21155708661414
Ret_Bot;2018-07-19T12:10:00+03:00;-104.24258267716542
Ret_Bot;2018-07-19T12:20:00+03:00;-104.28780867850107
Ret_Bot;2018-07-19T12:30:00+03:00;-104.30162795275585
Ret_Bot;2018-07-19T12:40:00+03:00;-104.31116535433137
Ret_Bot;2018-07-19T12:50:00+03:00;-104.30395866141778
Ret_Bot;2018-07-19T13:00:00+03:00;-104.2751814595663
Ret_Bot;2018-07-19T13:10:00+03:00;-104.25256889763767
Ret_Bot;2018-07-19T13:20:00+03:00;-104.25888165680497
Ret_Bot;2018-07-19T13:30:00+03:00;-104.259763779527
Ret_Bot;2018-07-19T13:40:00+03:00;-104.25334448818892
Ret_Bot;2018-07-19T13:50:00+03:00;-104.23210629921252
Ret_Bot;2018-07-19T14:00:00+03:00;-104.20030769230804
Ret_Bot;2018-07-19T14:10:00+03:00;-104.19378937007856
Ret_Bot;2018-07-19T14:20:00+03:00;-104.16406496063026
Ret_Bot;2018-07-19T14:30:00+03:00;-104.13373031496081
Ret_Bot;2018-07-19T14:40:00+03:00;-104.12024606299208
Ret_Bot;2018-07-19T14:50:00+03:00;-104.1484271653545
Ret_Bot;2018-07-19T15:00:00+03:00;-104.16557199211059
Ret_Bot;2018-07-19T15:10:00+03:00;-104.16985826771702
Ret_Bot;2018-07-19T15:20:00+03:00;-104.1916240157482
Ret_Bot;2018-07-19T15:30:00+03:00;-104.20706114398406
Ret_Bot;2018-07-19T15:40:00+03:00;-104.22893700787347
Ret_Bot;2018-07-19T15:50:00+03:00;-104.24441025641036
Ret_Bot;2018-07-19T16:00:00+03:00;-104.24491321498998
Ret_Bot;2018-07-19T16:10:00+03:00;-104.2307086614174
Ret_Bot;2018-07-19T16:20:00+03:00;-104.23705128205113
Ret_Bot;2018-07-19T16:30:00+03:00;-104.26522637795253
Ret_Bot;2018-07-19T16:40:00+03:00;-104.29137204724411
Ret_Bot;2018-07-19T16:50:00+03:00;-104.26477712031571
Ret_Bot;2018-07-19T17:00:00+03:00;-104.22948818897605
Ret_Bot;2018-07-19T17:10:00+03:00;-104.20437278106553
Ret_Bot;2018-07-19T17:20:00+03:00;-104.21204930966427
Ret_Bot;2018-07-19T17:30:00+03:00;-104.21082874015735
Ret_Bot;2018-07-19T17:40:00+03:00;-104.20048228346444
Ret_Bot;2018-07-19T17:50:00+03:00;-104.20127416173601
Ret_Bot;2018-07-19T18:00:00+03:00;-104.21760355029568
Ret_Bot;2018-07-19T18:10:00+03:00;-104.23846850393741
Ret_Bot;2018-07-19T18:20:00+03:00;-104.25957593688376
Ret_Bot;2018-07-19T18:30:00+03:00;-104.29145669291354
Ret_Bot;2018-07-19T18:40:00+03:00;-104.3102952755906
Ret_Bot;2018-07-19T18:50:00+03:00;-104.31690927021724
Ret_Bot;2018-07-19T19:00:00+03:00;-104.32433661417322
Ret_Bot;2018-07-19T19:10:00+03:00;-104.32394685039382
Ret_Bot;2018-07-19T19:20:00+03:00;-104.30331692913379
Ret_Bot;2018-07-19T19:30:00+03:00;-104.25402755905507
Ret_Bot;2018-07-19T19:40:00+03:00;-104.19783661417328
Ret_Bot;2018-07-19T19:50:00+03:00;-104.15725641025628
Ret_Bot;2018-07-19T20:00:00+03:00;-104.1261948818898
Ret_Bot;2018-07-19T20:10:00+03:00;-104.13706299212602
Ret_Bot;2018-07-19T20:20:00+03:00;-104.07151968503935
