sep=;
Series;Time;Value
Tube top;2018-07-19T07:30:00+03:00;-101.34007633587785
Tube top;2018-07-19T07:40:00+03:00;-101.32735166994111
Tube top;2018-07-19T07:50:00+03:00;-101.32093885601563
Tube top;2018-07-19T08:00:00+03:00;-101.30609645669293
Tube top;2018-07-19T08:10:00+03:00;-101.31640944881902
Tube top;2018-07-19T08:20:00+03:00;-101.3224282907662
Tube top;2018-07-19T08:30:00+03:00;-101.31500984251974
Tube top;2018-07-19T08:40:00+03:00;-101.31962598425221
Tube top;2018-07-19T08:50:00+03:00;-101.32056299212579
Tube top;2018-07-19T09:00:00+03:00;-101.31515944881872
Tube top;2018-07-19T09:10:00+03:00;-101.33777120315581
Tube top;2018-07-19T09:20:00+03:00;-101.37040157480328
Tube top;2018-07-19T09:30:00+03:00;-101.36303740157487
Tube top;2018-07-19T09:40:00+03:00;-101.28812377210218
Tube top;2018-07-19T09:50:00+03:00;-101.22535236220472
Tube top;2018-07-19T10:00:00+03:00;-101.27501377952763
Tube top;2018-07-19T10:10:00+03:00;-101.33101972386594
Tube top;2018-07-19T10:20:00+03:00;-101.31312401574823
Tube top;2018-07-19T10:30:00+03:00;-101.31215551181101
Tube top;2018-07-19T10:40:00+03:00;-101.33312992126008
Tube top;2018-07-19T10:50:00+03:00;-101.35352362204735
Tube top;2018-07-19T11:00:00+03:00;-101.34194695481311
Tube top;2018-07-19T11:10:00+03:00;-101.34518307086626
Tube top;2018-07-19T11:20:00+03:00;-101.34774212598417
Tube top;2018-07-19T11:30:00+03:00;-101.33722047244082
Tube top;2018-07-19T11:40:00+03:00;-101.3620315581854
Tube top;2018-07-19T11:50:00+03:00;-101.3707889546353
Tube top;2018-07-19T12:00:00+03:00;-101.37750000000018
Tube top;2018-07-19T12:10:00+03:00;-101.39689763779515
Tube top;2018-07-19T12:20:00+03:00;-101.449234714004
Tube top;2018-07-19T12:30:00+03:00;-101.46382874015751
Tube top;2018-07-19T12:40:00+03:00;-101.45201968503942
Tube top;2018-07-19T12:50:00+03:00;-101.46535039370075
Tube top;2018-07-19T13:00:00+03:00;-101.4381794871794
Tube top;2018-07-19T13:10:00+03:00;-101.42011023622054
Tube top;2018-07-19T13:20:00+03:00;-101.42094082840228
Tube top;2018-07-19T13:30:00+03:00;-101.42459055118105
Tube top;2018-07-19T13:40:00+03:00;-101.42112795275585
Tube top;2018-07-19T13:50:00+03:00;-101.39241535433071
