Series;Time;Value
Ret_Bot;2018-07-25T08:00:00+03:00;-103.90292913385842
Ret_Bot;2018-07-25T08:10:00+03:00;-103.77802165354323
Ret_Bot;2018-07-25T08:20:00+03:00;-103.66392716535412
Ret_Bot;2018-07-25T08:30:00+03:00;-103.59322986247544
Ret_Bot;2018-07-25T08:40:00+03:00;-103.55986811023621
Ret_Bot;2018-07-25T08:50:00+03:00;-103.73938779527556
Ret_Bot;2018-07-25T09:00:00+03:00;-103.952029527559
Ret_Bot;2018-07-25T09:10:00+03:00;-104.04209626719039
Ret_Bot;2018-07-25T09:20:00+03:00;-104.06678149606282
Ret_Bot;2018-07-25T09:30:00+03:00;-104.05918503937016
Ret_Bot;2018-07-25T09:40:00+03:00;-104.07729133858264
Ret_Bot;2018-07-25T09:50:00+03:00;-104.02440354330716
Ret_Bot;2018-07-25T10:00:00+03:00;-103.88835039370063
Ret_Bot;2018-07-25T10:10:00+03:00;-103.76667976424365
Ret_Bot;2018-07-25T10:20:00+03:00;-103.66580511811023
Ret_Bot;2018-07-25T10:30:00+03:00;-103.5813799212599
Ret_Bot;2018-07-25T10:40:00+03:00;-103.52587007873989
Ret_Bot;2018-07-25T10:50:00+03:00;-103.49957874015723
Ret_Bot;2018-07-25T11:00:00+03:00;-103.6199822834646
Ret_Bot;2018-07-25T11:10:00+03:00;-103.82722986247539
Ret_Bot;2018-07-25T11:20:00+03:00;-103.929437007874
Ret_Bot;2018-07-25T11:30:00+03:00;-103.96865551181142
Ret_Bot;2018-07-25T11:40:00+03:00;-104.00694094488205
Ret_Bot;2018-07-25T11:50:00+03:00;-104.06869488188974
Ret_Bot;2018-07-25T12:00:00+03:00;-104.12784645669282
Ret_Bot;2018-07-25T12:10:00+03:00;-104.06720118343186
Ret_Bot;2018-07-25T12:20:00+03:00;-103.95038582677164
Ret_Bot;2018-07-25T12:30:00+03:00;-103.83493307086628
Ret_Bot;2018-07-25T12:40:00+03:00;-103.73961811023634
Ret_Bot;2018-07-25T12:50:00+03:00;-103.66461023622031
Ret_Bot;2018-07-25T13:00:00+03:00;-103.62282677165324
Ret_Bot;2018-07-25T13:10:00+03:00;-103.7562204724411
Ret_Bot;2018-07-25T13:20:00+03:00;-103.99407283464562
