sep=;
Series;Time;Value
Ret_Bot;2018-07-31T08:00:00+03:00;-103.59535426889093
Ret_Bot;2018-07-31T08:20:00+03:00;-103.60044499017671
Ret_Bot;2018-07-31T08:40:00+03:00;-103.59477013752445
Ret_Bot;2018-07-31T09:00:00+03:00;-103.57866208251458
Ret_Bot;2018-07-31T09:20:00+03:00;-103.5896326129666
Ret_Bot;2018-07-31T09:40:00+03:00;-103.57851768172925
Ret_Bot;2018-07-31T10:00:00+03:00;-103.52435398230031
Ret_Bot;2018-07-31T10:20:00+03:00;-103.5050776794495
Ret_Bot;2018-07-31T10:40:00+03:00;-103.50697440944927
Ret_Bot;2018-07-31T11:00:00+03:00;-103.49531760078652
Ret_Bot;2018-07-31T11:20:00+03:00;-103.48450442477835
Ret_Bot;2018-07-31T11:40:00+03:00;-103.4658790560469
Ret_Bot;2018-07-31T12:00:00+03:00;-103.47756791338567
Ret_Bot;2018-07-31T12:20:00+03:00;-103.43430314960627
Ret_Bot;2018-07-31T12:40:00+03:00;-103.3949026548671
Ret_Bot;2018-07-31T13:00:00+03:00;-103.41604027504876
Ret_Bot;2018-07-31T13:20:00+03:00;-103.4124596456695
Ret_Bot;2018-07-31T13:40:00+03:00;-103.43770628683794
Ret_Bot;2018-07-31T14:00:00+03:00;-103.4631732283461
Ret_Bot;2018-07-31T14:20:00+03:00;-103.47492504931017
Ret_Bot;2018-07-31T14:40:00+03:00;-103.4658094768014
Ret_Bot;2018-07-31T15:00:00+03:00;-103.43514384236445
Ret_Bot;2018-07-31T15:20:00+03:00;-103.43441986234043
Ret_Bot;2018-07-31T15:40:00+03:00;-103.41784940944817
Ret_Bot;2018-07-31T16:00:00+03:00;-103.39383382497606
Ret_Bot;2018-07-31T16:20:00+03:00;-103.39380629301873
Ret_Bot;2018-07-31T16:40:00+03:00;-103.3726686332352
Ret_Bot;2018-07-31T17:00:00+03:00;-103.42822145669282
Ret_Bot;2018-07-31T17:20:00+03:00;-103.40453248031511
Ret_Bot;2018-07-31T17:40:00+03:00;-103.42977460629928
Ret_Bot;2018-07-31T18:00:00+03:00;-103.44669389763799
Ret_Bot;2018-07-31T18:20:00+03:00;-103.46071358267734
Ret_Bot;2018-07-31T18:40:00+03:00;-103.48233759842508
Ret_Bot;2018-07-31T19:00:00+03:00;-103.49210531496104
Ret_Bot;2018-07-31T19:20:00+03:00;-103.49753490658756
Ret_Bot;2018-07-31T19:40:00+03:00;-103.48371625615714
Ret_Bot;2018-07-31T20:00:00+03:00;-103.48159744094501
Ret_Bot;2018-07-31T20:20:00+03:00;-103.49052460629926
Ret_Bot;2018-07-31T20:40:00+03:00;-103.48765354330766
Ret_Bot;2018-07-31T21:00:00+03:00;-103.48197440944786
Ret_Bot;2018-07-31T21:20:00+03:00;-103.47985615763524
Ret_Bot;2018-07-31T21:40:00+03:00;-103.4915324803155
Ret_Bot;2018-07-31T22:00:00+03:00;-103.48864960629876
Ret_Bot;2018-07-31T22:20:00+03:00;-103.48918029556656
Ret_Bot;2018-07-31T22:40:00+03:00;-103.49788484251943
Ret_Bot;2018-07-31T23:00:00+03:00;-103.49577066929065
Ret_Bot;2018-07-31T23:20:00+03:00;-103.49543251231539
Ret_Bot;2018-07-31T23:40:00+03:00;-103.50265388397192
Ret_Bot;2018-08-01T00:00:00+03:00;-103.51822561576388
Ret_Bot;2018-08-01T00:20:00+03:00;-103.50345669291372
Ret_Bot;2018-08-01T00:40:00+03:00;-103.51851968503875
Ret_Bot;2018-08-01T01:00:00+03:00;-103.51560039370132
Ret_Bot;2018-08-01T01:20:00+03:00;-103.51729822834622
Ret_Bot;2018-08-01T01:40:00+03:00;-103.51074015747952
Ret_Bot;2018-08-01T02:00:00+03:00;-103.50775492125982
Ret_Bot;2018-08-01T02:20:00+03:00;-103.50181692913442
Ret_Bot;2018-08-01T02:40:00+03:00;-103.50663349753637
Ret_Bot;2018-08-01T03:00:00+03:00;-103.5112857142858
Ret_Bot;2018-08-01T03:20:00+03:00;-103.50520472440921
Ret_Bot;2018-08-01T03:40:00+03:00;-103.49119586614118
Ret_Bot;2018-08-01T04:00:00+03:00;-103.50053294002021
Ret_Bot;2018-08-01T04:20:00+03:00;-103.50268472906306
Ret_Bot;2018-08-01T04:40:00+03:00;-103.50195673549662
Ret_Bot;2018-08-01T05:00:00+03:00;-103.50603740157433
Ret_Bot;2018-08-01T05:20:00+03:00;-103.49770472440973
Ret_Bot;2018-08-01T05:40:00+03:00;-103.49997246804307
Ret_Bot;2018-08-01T06:00:00+03:00;-103.49646062992149
Ret_Bot;2018-08-01T06:20:00+03:00;-103.48415551181111
Ret_Bot;2018-08-01T06:40:00+03:00;-103.48755162241909
Ret_Bot;2018-08-01T07:00:00+03:00;-103.48850787401585
Ret_Bot;2018-08-01T07:20:00+03:00;-103.49541535433141
Ret_Bot;2018-08-01T07:40:00+03:00;-103.50284251968453
Ret_Bot;2018-08-01T08:00:00+03:00;-103.49831200787403
Ret_Bot;2018-08-01T08:20:00+03:00;-103.51056945812806
Ret_Bot;2018-08-01T08:40:00+03:00;-103.53479822834623
Ret_Bot;2018-08-01T09:00:00+03:00;-103.52273818897646
Ret_Bot;2018-08-01T09:20:00+03:00;-103.49191338582688
