sep=;
Series;Time;Value
xelab.mode;2018-08-10T15:10:00+03:00;5.5816
xelab.mode;2018-08-10T15:10:10+03:00;5.7032
xelab.mode;2018-08-10T15:10:20+03:00;4.6624
xelab.mode;2018-08-10T15:10:30+03:00;4.8391
xelab.mode;2018-08-10T15:10:40+03:00;5.6064
xelab.mode;2018-08-10T15:10:50+03:00;5.2136
xelab.mode;2018-08-10T15:11:00+03:00;4.8519
xelab.mode;2018-08-10T15:11:10+03:00;5.2292
xelab.mode;2018-08-10T15:11:20+03:00;5.7454
xelab.mode;2018-08-10T15:11:30+03:00;5.5893
xelab.mode;2018-08-10T15:11:40+03:00;5.0271
xelab.mode;2018-08-10T15:11:50+03:00;5.1009
xelab.mode;2018-08-10T15:12:00+03:00;4.644
xelab.mode;2018-08-10T15:12:10+03:00;4.6664
xelab.mode;2018-08-10T15:12:20+03:00;4.743
xelab.mode;2018-08-10T15:12:30+03:00;5.5711
xelab.mode;2018-08-10T15:12:40+03:00;5.1881
xelab.mode;2018-08-10T15:12:50+03:00;4.5856
xelab.mode;2018-08-10T15:13:00+03:00;5.3614
xelab.mode;2018-08-10T15:13:10+03:00;5.6541
xelab.mode;2018-08-10T15:13:20+03:00;5.1321
xelab.mode;2018-08-10T15:13:30+03:00;5.1969
xelab.mode;2018-08-10T15:13:40+03:00;5.033
xelab.mode;2018-08-10T15:13:50+03:00;5.6273
xelab.mode;2018-08-10T15:14:00+03:00;4.8859
xelab.mode;2018-08-10T15:14:10+03:00;4.8593
xelab.mode;2018-08-10T15:14:20+03:00;5.3359
xelab.mode;2018-08-10T15:14:30+03:00;5.2173
xelab.mode;2018-08-10T15:14:40+03:00;5.6276
xelab.mode;2018-08-10T15:14:50+03:00;4.735
xelab.mode;2018-08-10T15:15:00+03:00;4.7452
xelab.mode;2018-08-10T15:15:10+03:00;5.0886
xelab.mode;2018-08-10T15:15:20+03:00;4.9216
xelab.mode;2018-08-10T15:15:30+03:00;5.755
xelab.mode;2018-08-10T15:15:40+03:00;4.9991
xelab.mode;2018-08-10T15:15:50+03:00;4.7789
xelab.mode;2018-08-10T15:16:00+03:00;5.4498
xelab.mode;2018-08-10T15:16:10+03:00;5.2317
xelab.mode;2018-08-10T15:16:20+03:00;4.7719
xelab.mode;2018-08-10T15:16:30+03:00;4.7521
xelab.mode;2018-08-10T15:16:40+03:00;5.3464
xelab.mode;2018-08-10T15:16:50+03:00;5.8336
xelab.mode;2018-08-10T15:17:00+03:00;5.6829
xelab.mode;2018-08-10T15:17:10+03:00;5.0272
xelab.mode;2018-08-10T15:17:20+03:00;5.1582
xelab.mode;2018-08-10T15:17:30+03:00;5.8902
xelab.mode;2018-08-10T15:17:40+03:00;5.611
xelab.mode;2018-08-10T15:17:50+03:00;4.7131
xelab.mode;2018-08-10T15:18:00+03:00;5.0837
