sep=;
Series;Time;Value
Tube top;2018-08-10T08:00:00+03:00;-100.44142125984249
Tube top;2018-08-10T08:20:00+03:00;-100.5061240157479
Tube top;2018-08-10T08:40:00+03:00;-100.5611858407082
Tube top;2018-08-10T09:00:00+03:00;-100.58785925196867
Tube top;2018-08-10T09:20:00+03:00;-100.58883562992136
Tube top;2018-08-10T09:40:00+03:00;-100.55810826771643
Tube top;2018-08-10T10:00:00+03:00;-100.56117027559064
Tube top;2018-08-10T10:20:00+03:00;-100.45572369714823
Tube top;2018-08-10T10:40:00+03:00;-100.47038976377972
Tube top;2018-08-10T11:00:00+03:00;-100.55526082677154
Tube top;2018-08-10T11:20:00+03:00;-100.52557775590543
Tube top;2018-08-10T11:40:00+03:00;-100.51611209439507
Tube top;2018-08-10T12:00:00+03:00;-100.49215944881892
Tube top;2018-08-10T12:20:00+03:00;-100.51471062992097
Tube top;2018-08-10T12:40:00+03:00;-100.51734414945943
Tube top;2018-08-10T13:00:00+03:00;-100.48753346456681
Tube top;2018-08-10T13:20:00+03:00;-100.48682578740146
Tube top;2018-08-10T13:40:00+03:00;-100.47974606299212
Tube top;2018-08-10T14:00:00+03:00;-100.46893996062997
Tube top;2018-08-10T14:20:00+03:00;-100.48085728346436
Tube top;2018-08-10T14:40:00+03:00;-100.47602263779528
Tube top;2018-08-10T15:00:00+03:00;-100.48356299212607
Tube top;2018-08-10T15:20:00+03:00;-100.46010236220475
Tube top;2018-08-10T15:40:00+03:00;-100.47604625984224
Tube top;2018-08-10T16:00:00+03:00;-100.49162500000016
Tube top;2018-08-10T16:20:00+03:00;-100.50848720472423
Tube top;2018-08-10T16:40:00+03:00;-100.52840216322545
Tube top;2018-08-10T17:00:00+03:00;-100.51811614173236
Tube top;2018-08-10T17:20:00+03:00;-100.54797736220466
Tube top;2018-08-10T17:40:00+03:00;-100.54082874015744
Tube top;2018-08-10T18:00:00+03:00;-100.5268395669292
Tube top;2018-08-10T18:20:00+03:00;-100.52265093411954
Tube top;2018-08-10T18:40:00+03:00;-100.52641043307064
Tube top;2018-08-10T19:00:00+03:00;-100.55883070866157
Tube top;2018-08-10T19:20:00+03:00;-100.5751602753196
Tube top;2018-08-10T19:40:00+03:00;-100.57001181102358
Tube top;2018-08-10T20:00:00+03:00;-100.56190059055118
Tube top;2018-08-10T20:20:00+03:00;-100.58479133858266
Tube top;2018-08-10T20:40:00+03:00;-100.5815738188977
Tube top;2018-08-10T21:00:00+03:00;-100.5723785644051
Tube top;2018-08-10T21:20:00+03:00;-100.57093799212588
Tube top;2018-08-10T21:40:00+03:00;-100.567684055118
Tube top;2018-08-10T22:00:00+03:00;-100.57192125984258
Tube top;2018-08-10T22:20:00+03:00;-100.56666535433094
Tube top;2018-08-10T22:40:00+03:00;-100.5496643700787
Tube top;2018-08-10T23:00:00+03:00;-100.4442736220473
Tube top;2018-08-10T23:20:00+03:00;-100.51468669950728
Tube top;2018-08-10T23:40:00+03:00;-100.59164665354366
Tube top;2018-08-11T00:00:00+03:00;-100.59939704433474
Tube top;2018-08-11T00:20:00+03:00;-100.58548425196858
Tube top;2018-08-11T00:40:00+03:00;-100.5914901574803
Tube top;2018-08-11T01:00:00+03:00;-100.60174507873997
Tube top;2018-08-11T01:20:00+03:00;-100.48725320197063
Tube top;2018-08-11T01:40:00+03:00;-100.52281182266026
Tube top;2018-08-11T02:00:00+03:00;-100.60850246305412
Tube top;2018-08-11T02:20:00+03:00;-100.63436847290656
Tube top;2018-08-11T02:40:00+03:00;-100.64743897637783
Tube top;2018-08-11T03:00:00+03:00;-100.54384137931032
Tube top;2018-08-11T03:20:00+03:00;-100.46058366141729
Tube top;2018-08-11T03:40:00+03:00;-100.57596847290647
Tube top;2018-08-11T04:00:00+03:00;-100.62142224409445
Tube top;2018-08-11T04:20:00+03:00;-100.63505807086604
Tube top;2018-08-11T04:40:00+03:00;-100.53634088669946
Tube top;2018-08-11T05:00:00+03:00;-100.46046456692906
Tube top;2018-08-11T05:20:00+03:00;-100.62888385826756
Tube top;2018-08-11T05:40:00+03:00;-100.66334448818883
Tube top;2018-08-11T06:00:00+03:00;-100.56903346456686
Tube top;2018-08-11T06:20:00+03:00;-100.44390846456695
Tube top;2018-08-11T06:40:00+03:00;-100.57777362204716
Tube top;2018-08-11T07:00:00+03:00;-100.63035693215353
Tube top;2018-08-11T07:20:00+03:00;-100.55748228346485
Tube top;2018-08-11T07:40:00+03:00;-100.45727980295558
Tube top;2018-08-11T08:00:00+03:00;-100.59404330708665
Tube top;2018-08-11T08:20:00+03:00;-100.61954679802957
Tube top;2018-08-11T08:40:00+03:00;-100.62315059055145
Tube top;2018-08-11T09:00:00+03:00;-100.55365024630552
Tube top;2018-08-11T09:20:00+03:00;-100.4258228346457
Tube top;2018-08-11T09:40:00+03:00;-100.52887992125976
Tube top;2018-08-11T10:00:00+03:00;-100.55937635467973
Tube top;2018-08-11T10:20:00+03:00;-100.56981692913389
Tube top;2018-08-11T10:40:00+03:00;-100.55745078740152
Tube top;2018-08-11T11:00:00+03:00;-100.53826206896554
Tube top;2018-08-11T11:20:00+03:00;-100.46766929133857
Tube top;2018-08-11T11:40:00+03:00;-100.4070078817736
Tube top;2018-08-11T12:00:00+03:00;-100.50800196850396
Tube top;2018-08-11T12:20:00+03:00;-100.50459350393676
Tube top;2018-08-11T12:40:00+03:00;-100.50479232283475
Tube top;2018-08-11T13:00:00+03:00;-100.48995374015743
Tube top;2018-08-11T13:20:00+03:00;-100.50275688976392
Tube top;2018-08-11T13:40:00+03:00;-100.5035733990146
Tube top;2018-08-11T14:00:00+03:00;-100.45906397637798
Tube top;2018-08-11T14:20:00+03:00;-100.53751870078726
Tube top;2018-08-11T14:40:00+03:00;-100.51674212598422
Tube top;2018-08-11T15:00:00+03:00;-100.50884055118118
Tube top;2018-08-11T15:20:00+03:00;-100.52101181102368
Tube top;2018-08-11T15:40:00+03:00;-100.52178444881875
Tube top;2018-08-11T16:00:00+03:00;-100.53572736220481
Tube top;2018-08-11T16:20:00+03:00;-100.52500492125978
Tube top;2018-08-11T16:40:00+03:00;-100.43733070866146
Tube top;2018-08-11T17:00:00+03:00;-100.47561122047237
Tube top;2018-08-11T17:20:00+03:00;-100.52768866995059
Tube top;2018-08-11T17:40:00+03:00;-100.53004232283463
Tube top;2018-08-11T18:00:00+03:00;-100.52223818897627
Tube top;2018-08-11T18:20:00+03:00;-100.5347214566929
Tube top;2018-08-11T18:40:00+03:00;-100.54374803149572
Tube top;2018-08-11T19:00:00+03:00;-100.53738779527563
Tube top;2018-08-11T19:20:00+03:00;-100.57148818897645
Tube top;2018-08-11T19:40:00+03:00;-100.57422047244096
Tube top;2018-08-11T20:00:00+03:00;-100.5646692913382
Tube top;2018-08-11T20:20:00+03:00;-100.57747145669312
Tube top;2018-08-11T20:40:00+03:00;-100.5000157480314
Tube top;2018-08-11T21:00:00+03:00;-100.46456496063014
Tube top;2018-08-11T21:20:00+03:00;-100.54046305418724
Tube top;2018-08-11T21:40:00+03:00;-100.55493110236222
Tube top;2018-08-11T22:00:00+03:00;-100.56522910521106
Tube top;2018-08-11T22:20:00+03:00;-100.57885418719226
