sep=;
Series;Time;Value
Ret_Bot;2018-07-13T05:00:00+03:00;-103.78756550802142
Ret_Bot;2018-07-13T05:15:00+03:00;-103.78274540682415
Ret_Bot;2018-07-13T05:30:00+03:00;-103.79279790026268
Ret_Bot;2018-07-13T05:45:00+03:00;-103.80846981627278
Ret_Bot;2018-07-13T06:00:00+03:00;-103.81858475689941
Ret_Bot;2018-07-13T06:15:00+03:00;-103.82957217847711
Ret_Bot;2018-07-13T06:30:00+03:00;-103.82353937007878
Ret_Bot;2018-07-13T06:45:00+03:00;-103.82348950131204
Ret_Bot;2018-07-13T07:00:00+03:00;-103.82086220472442
Ret_Bot;2018-07-13T07:15:00+03:00;-103.82247244094474
Ret_Bot;2018-07-13T07:30:00+03:00;-103.8272979002621
Ret_Bot;2018-07-13T07:45:00+03:00;-103.81903280839948
Ret_Bot;2018-07-13T08:00:00+03:00;-103.79738976377928
Ret_Bot;2018-07-13T08:15:00+03:00;-103.79933595800597
Ret_Bot;2018-07-13T08:30:00+03:00;-103.79656955380557
Ret_Bot;2018-07-13T08:45:00+03:00;-103.79707480315014
Ret_Bot;2018-07-13T09:00:00+03:00;-103.7973929040732
Ret_Bot;2018-07-13T09:15:00+03:00;-103.80227821522243
Ret_Bot;2018-07-13T09:30:00+03:00;-103.74541153342048
Ret_Bot;2018-07-13T09:45:00+03:00;-103.72204467805544
Ret_Bot;2018-07-13T10:00:00+03:00;-103.6923464566932
Ret_Bot;2018-07-13T10:15:00+03:00;-103.60948031496099
Ret_Bot;2018-07-13T10:30:00+03:00;-103.57514960629953
Ret_Bot;2018-07-13T10:45:00+03:00;-103.61377165354362
Ret_Bot;2018-07-13T11:00:00+03:00;-103.68486089238887
Ret_Bot;2018-07-13T11:15:00+03:00;-103.71257950065679
Ret_Bot;2018-07-13T11:30:00+03:00;-103.7331194225727
Ret_Bot;2018-07-13T11:45:00+03:00;-103.73760315374531
Ret_Bot;2018-07-13T12:00:00+03:00;-103.81145275590546
Ret_Bot;2018-07-13T12:15:00+03:00;-103.78560892388431
Ret_Bot;2018-07-13T12:30:00+03:00;-103.83092913385794
Ret_Bot;2018-07-13T12:45:00+03:00;-103.81248162729607
Ret_Bot;2018-07-13T13:00:00+03:00;-103.73435039370067
Ret_Bot;2018-07-13T13:15:00+03:00;-103.83469553805764
Ret_Bot;2018-07-13T13:30:00+03:00;-103.82264651774035
Ret_Bot;2018-07-13T13:45:00+03:00;-103.82689501312353
Ret_Bot;2018-07-13T14:00:00+03:00;-103.82972703412054
Ret_Bot;2018-07-13T14:15:00+03:00;-103.83069947506564
Ret_Bot;2018-07-13T14:30:00+03:00;-103.82612598425226
Ret_Bot;2018-07-13T14:45:00+03:00;-103.81991076115493
Ret_Bot;2018-07-13T15:00:00+03:00;-103.82767979002622
Ret_Bot;2018-07-13T15:15:00+03:00;-103.82836925098577
Ret_Bot;2018-07-13T15:30:00+03:00;-103.78657217847773
Ret_Bot;2018-07-13T15:45:00+03:00;-103.7111128608928
Ret_Bot;2018-07-13T16:00:00+03:00;-103.66278186596604
Ret_Bot;2018-07-13T16:15:00+03:00;-103.6287769028872
Ret_Bot;2018-07-13T16:30:00+03:00;-103.61695931758499
Ret_Bot;2018-07-13T16:45:00+03:00;-103.68391458607094
Ret_Bot;2018-07-13T17:00:00+03:00;-103.71876509186393
Ret_Bot;2018-07-13T17:15:00+03:00;-103.73401312335929
Ret_Bot;2018-07-13T17:30:00+03:00;-103.7417742782149
Ret_Bot;2018-07-13T17:45:00+03:00;-103.75640157480343
Ret_Bot;2018-07-13T18:00:00+03:00;-103.77538976377943
Ret_Bot;2018-07-13T18:15:00+03:00;-103.79331758530157
Ret_Bot;2018-07-13T18:30:00+03:00;-103.79839947437569
Ret_Bot;2018-07-13T18:45:00+03:00;-103.80510761154832
Ret_Bot;2018-07-13T19:00:00+03:00;-103.81662467191599
Ret_Bot;2018-07-13T19:15:00+03:00;-103.81658136482926
Ret_Bot;2018-07-13T19:30:00+03:00;-103.82339107611566
Ret_Bot;2018-07-13T19:45:00+03:00;-103.829817345598
Ret_Bot;2018-07-13T20:00:00+03:00;-103.83026377952781
Ret_Bot;2018-07-13T20:15:00+03:00;-103.83317060367442
Ret_Bot;2018-07-13T20:30:00+03:00;-103.75622834645692
Ret_Bot;2018-07-13T20:45:00+03:00;-103.7104409448819
Ret_Bot;2018-07-13T21:00:00+03:00;-103.6607401574803
Ret_Bot;2018-07-13T21:15:00+03:00;-103.62376115485536
Ret_Bot;2018-07-13T21:30:00+03:00;-103.62085282522985
Ret_Bot;2018-07-13T21:45:00+03:00;-103.69634822601861
Ret_Bot;2018-07-13T22:00:00+03:00;-103.70913254593208
Ret_Bot;2018-07-13T22:15:00+03:00;-103.71952493438357
Ret_Bot;2018-07-13T22:30:00+03:00;-103.72979030144145
Ret_Bot;2018-07-13T22:45:00+03:00;-103.75605650459923
Ret_Bot;2018-07-13T23:00:00+03:00;-103.76847900262389
Ret_Bot;2018-07-13T23:15:00+03:00;-103.78138188976355
Ret_Bot;2018-07-13T23:30:00+03:00;-103.80557349081386
Ret_Bot;2018-07-13T23:45:00+03:00;-103.81808923884591
Ret_Bot;2018-07-14T00:00:00+03:00;-103.81681889763762
Ret_Bot;2018-07-14T00:15:00+03:00;-103.82070603674548
Ret_Bot;2018-07-14T00:30:00+03:00;-103.82112335958074
Ret_Bot;2018-07-14T00:45:00+03:00;-103.81324540682382
Ret_Bot;2018-07-14T01:00:00+03:00;-103.8234107611545
Ret_Bot;2018-07-14T01:15:00+03:00;-103.82841207349085
Ret_Bot;2018-07-14T01:30:00+03:00;-103.84294612352156
Ret_Bot;2018-07-14T01:45:00+03:00;-103.84679816513776
Ret_Bot;2018-07-14T02:00:00+03:00;-103.82856824146975
Ret_Bot;2018-07-14T02:15:00+03:00;-103.7471419185281
Ret_Bot;2018-07-14T02:30:00+03:00;-103.69249737532809
Ret_Bot;2018-07-14T02:45:00+03:00;-103.650335085414
Ret_Bot;2018-07-14T03:00:00+03:00;-103.6441087811274
Ret_Bot;2018-07-14T03:15:00+03:00;-103.72899211563698
Ret_Bot;2018-07-14T03:30:00+03:00;-103.72780708661476
Ret_Bot;2018-07-14T03:45:00+03:00;-103.7283832020998
Ret_Bot;2018-07-14T04:00:00+03:00;-103.74632939632578
Ret_Bot;2018-07-14T04:15:00+03:00;-103.76386876640372
Ret_Bot;2018-07-14T04:30:00+03:00;-103.78274409448834
Ret_Bot;2018-07-14T04:45:00+03:00;-103.80074278215184
Ret_Bot;2018-07-14T05:00:00+03:00;-103.81117716535418
Ret_Bot;2018-07-14T05:15:00+03:00;-103.79983202099734
Ret_Bot;2018-07-14T05:30:00+03:00;-103.81021653543353
Ret_Bot;2018-07-14T05:45:00+03:00;-103.82907349081435
Ret_Bot;2018-07-14T06:00:00+03:00;-103.83703674540705
Ret_Bot;2018-07-14T06:15:00+03:00;-103.82708804204998
Ret_Bot;2018-07-14T06:30:00+03:00;-103.82842650918649
Ret_Bot;2018-07-14T06:45:00+03:00;-103.83107611548598
Ret_Bot;2018-07-14T07:00:00+03:00;-103.82135564304534
Ret_Bot;2018-07-14T07:15:00+03:00;-103.80291863517057
Ret_Bot;2018-07-14T07:30:00+03:00;-103.80039370078674
Ret_Bot;2018-07-14T07:45:00+03:00;-103.80182545931761
Ret_Bot;2018-07-14T08:00:00+03:00;-103.80128383705598
Ret_Bot;2018-07-14T08:15:00+03:00;-103.80818766404221
Ret_Bot;2018-07-14T08:30:00+03:00;-103.8222969776607
Ret_Bot;2018-07-14T08:45:00+03:00;-103.8209606299218
Ret_Bot;2018-07-14T09:00:00+03:00;-103.82530486202332
Ret_Bot;2018-07-14T09:15:00+03:00;-103.82181102362264
Ret_Bot;2018-07-14T09:30:00+03:00;-103.81248162729604
Ret_Bot;2018-07-14T09:45:00+03:00;-103.80430314960697
Ret_Bot;2018-07-14T10:00:00+03:00;-103.80411563731886
Ret_Bot;2018-07-14T10:15:00+03:00;-103.81098425196872
Ret_Bot;2018-07-14T10:30:00+03:00;-103.80432152230995
Ret_Bot;2018-07-14T10:45:00+03:00;-103.79987532808394
Ret_Bot;2018-07-14T11:00:00+03:00;-103.78088976377948
Ret_Bot;2018-07-14T11:15:00+03:00;-103.74940813648332
Ret_Bot;2018-07-14T11:30:00+03:00;-103.68947375328098
Ret_Bot;2018-07-14T11:45:00+03:00;-103.63272309711286
Ret_Bot;2018-07-14T12:00:00+03:00;-103.60077427821481
Ret_Bot;2018-07-14T12:15:00+03:00;-103.6826023622049
Ret_Bot;2018-07-14T12:30:00+03:00;-103.70125984252007
Ret_Bot;2018-07-14T12:45:00+03:00;-103.71700393700813
Ret_Bot;2018-07-14T13:00:00+03:00;-103.73319053876469
Ret_Bot;2018-07-14T13:15:00+03:00;-103.74355511811045
Ret_Bot;2018-07-14T13:30:00+03:00;-103.75892267365673
Ret_Bot;2018-07-14T13:45:00+03:00;-103.77214191852778
Ret_Bot;2018-07-14T14:00:00+03:00;-103.77343307086623
Ret_Bot;2018-07-14T14:15:00+03:00;-103.78127296587978
Ret_Bot;2018-07-14T14:30:00+03:00;-103.77681758530174
Ret_Bot;2018-07-14T14:45:00+03:00;-103.79074836172995
Ret_Bot;2018-07-14T15:00:00+03:00;-103.81215374507306
Ret_Bot;2018-07-14T15:15:00+03:00;-103.82600524934347
Ret_Bot;2018-07-14T15:30:00+03:00;-103.82707217847774
Ret_Bot;2018-07-14T15:45:00+03:00;-103.81272178477661
Ret_Bot;2018-07-14T16:00:00+03:00;-103.80799737532753
Ret_Bot;2018-07-14T16:15:00+03:00;-103.81797634691188
Ret_Bot;2018-07-14T16:30:00+03:00;-103.83144356955385
Ret_Bot;2018-07-14T16:45:00+03:00;-103.79578477690333
Ret_Bot;2018-07-14T17:00:00+03:00;-103.73565748031491
Ret_Bot;2018-07-14T17:15:00+03:00;-103.69005380577482
Ret_Bot;2018-07-14T17:30:00+03:00;-103.64609580052506
Ret_Bot;2018-07-14T17:45:00+03:00;-103.65196981627294
Ret_Bot;2018-07-14T18:00:00+03:00;-103.707347769029
Ret_Bot;2018-07-14T18:15:00+03:00;-103.69429658792664
Ret_Bot;2018-07-14T18:30:00+03:00;-103.70831233595834
Ret_Bot;2018-07-14T18:45:00+03:00;-103.7331994750659
Ret_Bot;2018-07-14T19:00:00+03:00;-103.75905380577473
Ret_Bot;2018-07-14T19:15:00+03:00;-103.78482283464515
Ret_Bot;2018-07-14T19:30:00+03:00;-103.79781340341728
Ret_Bot;2018-07-14T19:45:00+03:00;-103.8021968503936
Ret_Bot;2018-07-14T20:00:00+03:00;-103.80227034120743
Ret_Bot;2018-07-14T20:15:00+03:00;-103.80391732283442
Ret_Bot;2018-07-14T20:30:00+03:00;-103.80964829396345
Ret_Bot;2018-07-14T20:45:00+03:00;-103.81523097112877
Ret_Bot;2018-07-14T21:00:00+03:00;-103.8145472440946
Ret_Bot;2018-07-14T21:15:00+03:00;-103.81133070866183
Ret_Bot;2018-07-14T21:30:00+03:00;-103.82363040629045
Ret_Bot;2018-07-14T21:45:00+03:00;-103.76563731931637
Ret_Bot;2018-07-14T22:00:00+03:00;-103.68099606299252
Ret_Bot;2018-07-14T22:15:00+03:00;-103.64250918635223
Ret_Bot;2018-07-14T22:30:00+03:00;-103.62536173001345
Ret_Bot;2018-07-14T22:45:00+03:00;-103.67542575558448
Ret_Bot;2018-07-14T23:00:00+03:00;-103.70072309711334
Ret_Bot;2018-07-14T23:15:00+03:00;-103.69368372703464
Ret_Bot;2018-07-14T23:30:00+03:00;-103.70941261498066
Ret_Bot;2018-07-14T23:45:00+03:00;-103.73512204724409
Ret_Bot;2018-07-15T00:00:00+03:00;-103.75420499342948
Ret_Bot;2018-07-15T00:15:00+03:00;-103.77365091863547
Ret_Bot;2018-07-15T00:30:00+03:00;-103.78696587926453
Ret_Bot;2018-07-15T00:45:00+03:00;-103.79697116644816
Ret_Bot;2018-07-15T01:00:00+03:00;-103.80666404199454
Ret_Bot;2018-07-15T01:15:00+03:00;-103.80343307086602
Ret_Bot;2018-07-15T01:30:00+03:00;-103.79919973718832
Ret_Bot;2018-07-15T01:45:00+03:00;-103.80296456692898
Ret_Bot;2018-07-15T02:00:00+03:00;-103.80500524934342
Ret_Bot;2018-07-15T02:15:00+03:00;-103.81032720105141
Ret_Bot;2018-07-15T02:30:00+03:00;-103.8229107611548
Ret_Bot;2018-07-15T02:45:00+03:00;-103.83061286089236
Ret_Bot;2018-07-15T03:00:00+03:00;-103.8378530183725
Ret_Bot;2018-07-15T03:15:00+03:00;-103.8298344283836
Ret_Bot;2018-07-15T03:30:00+03:00;-103.81780971128619
Ret_Bot;2018-07-15T03:45:00+03:00;-103.8210288713915
Ret_Bot;2018-07-15T04:00:00+03:00;-103.8234940867283
Ret_Bot;2018-07-15T04:15:00+03:00;-103.80441022280458
Ret_Bot;2018-07-15T04:30:00+03:00;-103.80666535433056
Ret_Bot;2018-07-15T04:45:00+03:00;-103.77436876640412
Ret_Bot;2018-07-15T05:00:00+03:00;-103.72178608923868
Ret_Bot;2018-07-15T05:15:00+03:00;-103.66950656167985
Ret_Bot;2018-07-15T05:30:00+03:00;-103.62609317585267
Ret_Bot;2018-07-15T05:45:00+03:00;-103.66967979002641
Ret_Bot;2018-07-15T06:00:00+03:00;-103.67597112860842
Ret_Bot;2018-07-15T06:15:00+03:00;-103.69433727034142
Ret_Bot;2018-07-15T06:30:00+03:00;-103.71009711286072
Ret_Bot;2018-07-15T06:45:00+03:00;-103.72724441524376
Ret_Bot;2018-07-15T07:00:00+03:00;-103.75262467191585
Ret_Bot;2018-07-15T07:15:00+03:00;-103.76694619422614
Ret_Bot;2018-07-15T07:30:00+03:00;-103.7689146981628
Ret_Bot;2018-07-15T07:45:00+03:00;-103.77499606299266
Ret_Bot;2018-07-15T08:00:00+03:00;-103.77731627296603
Ret_Bot;2018-07-15T08:15:00+03:00;-103.77629002624728
Ret_Bot;2018-07-15T08:30:00+03:00;-103.78912352168206
Ret_Bot;2018-07-15T08:45:00+03:00;-103.7880590551176
Ret_Bot;2018-07-15T09:00:00+03:00;-103.79588320209955
Ret_Bot;2018-07-15T09:15:00+03:00;-103.81571522309768
Ret_Bot;2018-07-15T09:30:00+03:00;-103.80025065616816
Ret_Bot;2018-07-15T09:45:00+03:00;-103.52777427821542
Ret_Bot;2018-07-15T10:00:00+03:00;-102.96370734908172
Ret_Bot;2018-07-15T10:15:00+03:00;-102.830103674541
Ret_Bot;2018-07-15T10:30:00+03:00;-102.76322965879254
Ret_Bot;2018-07-15T10:45:00+03:00;-102.7052020997376
Ret_Bot;2018-07-15T11:00:00+03:00;-102.67680971128615
Ret_Bot;2018-07-15T11:15:00+03:00;-102.54409711286104
Ret_Bot;2018-07-15T11:30:00+03:00;-102.48980551905389
Ret_Bot;2018-07-15T11:45:00+03:00;-102.56057874015741
Ret_Bot;2018-07-15T12:00:00+03:00;-102.52252099737527
Ret_Bot;2018-07-15T12:15:00+03:00;-102.51352693823934
Ret_Bot;2018-07-15T12:30:00+03:00;-102.53423622047245
Ret_Bot;2018-07-15T12:45:00+03:00;-102.56899606299196
Ret_Bot;2018-07-15T13:00:00+03:00;-102.74169331585836
