sep=;
Series;Time;Value
Tube top;2018-07-13T05:00:00+03:00;-100.9660160427807
Tube top;2018-07-13T05:15:00+03:00;-100.96013254593169
Tube top;2018-07-13T05:30:00+03:00;-100.97333070866121
Tube top;2018-07-13T05:45:00+03:00;-100.98307217847776
Tube top;2018-07-13T06:00:00+03:00;-100.99894218134025
Tube top;2018-07-13T06:15:00+03:00;-101.00510761154875
Tube top;2018-07-13T06:30:00+03:00;-101.00121653543303
Tube top;2018-07-13T06:45:00+03:00;-100.99780708661419
Tube top;2018-07-13T07:00:00+03:00;-101.00146719160088
Tube top;2018-07-13T07:15:00+03:00;-100.99817454068236
Tube top;2018-07-13T07:30:00+03:00;-101.00684120734917
Tube top;2018-07-13T07:45:00+03:00;-100.99615091863522
Tube top;2018-07-13T08:00:00+03:00;-100.97772965879284
Tube top;2018-07-13T08:15:00+03:00;-100.96764041994753
Tube top;2018-07-13T08:30:00+03:00;-100.9827965879265
Tube top;2018-07-13T08:45:00+03:00;-100.97570078740132
Tube top;2018-07-13T09:00:00+03:00;-100.97865834428383
Tube top;2018-07-13T09:15:00+03:00;-100.97872309711278
Tube top;2018-07-13T09:30:00+03:00;-100.91335648754921
Tube top;2018-07-13T09:45:00+03:00;-100.91097109066997
Tube top;2018-07-13T10:00:00+03:00;-100.87612598425186
Tube top;2018-07-13T10:15:00+03:00;-100.80616535433059
Tube top;2018-07-13T10:30:00+03:00;-100.77656036745412
Tube top;2018-07-13T10:45:00+03:00;-100.81477034120729
Tube top;2018-07-13T11:00:00+03:00;-100.89954855643015
Tube top;2018-07-13T11:15:00+03:00;-100.91639159001308
Tube top;2018-07-13T11:30:00+03:00;-100.94067585301832
Tube top;2018-07-13T11:45:00+03:00;-100.94767542706977
Tube top;2018-07-13T12:00:00+03:00;-101.02744881889775
Tube top;2018-07-13T12:15:00+03:00;-101.00294881889762
Tube top;2018-07-13T12:30:00+03:00;-101.03856824146972
Tube top;2018-07-13T12:45:00+03:00;-101.02198950131253
Tube top;2018-07-13T13:00:00+03:00;-100.9506286089239
Tube top;2018-07-13T13:15:00+03:00;-101.03768110236228
Tube top;2018-07-13T13:30:00+03:00;-101.01688042049949
Tube top;2018-07-13T13:45:00+03:00;-101.02708530183726
Tube top;2018-07-13T14:00:00+03:00;-101.02148950131222
Tube top;2018-07-13T14:15:00+03:00;-101.0214501312337
Tube top;2018-07-13T14:30:00+03:00;-101.01176509186321
Tube top;2018-07-13T14:45:00+03:00;-101.00127427821525
